CODUSU;ANO4;TRIMESTRE;NRO_HOGAR;REALIZADA;REGION;MAS_500;AGLOMERADO;PONDERA;IV1;IV1_ESP;IV2;IV3;IV3_ESP;IV4;IV5;IV6;IV7;IV7_ESP;IV8;IV9;IV10;IV11;IV12_1;IV12_2;IV12_3;II1;II2;II3;II3_1;II4_1;II4_2;II4_3;II5;II5_1;II6;II6_1;II7;II7_ESP;II8;II8_ESP;II9;V1;V2;V21;V22;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19_A;V19_B;IX_TOT;IX_MEN10;IX_MAYEQ10;ITF;DECIFR;IDECIFR;RDECIFR;GDECIFR;PDECIFR;ADECIFR;IPCF;DECCFR;IDECCFR;RDECCFR;GDECCFR;PDECCFR;ADECCFR;PONDIH;VII1_1;VII1_2;VII2_1;VII2_2;VII2_3;VII2_4;TIPO_HOGAR
TQSMNORTSHMMKOCDEHMHF00811249;2024;3;1;1;42;N;26;228;2;;2;1;;1;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;1;1;125000;1;1;1;;1;1;62500;1;1;1;;1;1;227;1;0;98;0;0;0;Nuclear
TQRMNORQXHMKKPCDEHMHF00811250;2024;3;1;1;42;N;26;175;1;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;1;1;2;0;2;0;1;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;770000;4;5;5;;5;5;385000;6;6;7;;7;7;230;1;2;98;0;0;0;Nuclear
TQRMNORQYHMKKPCDEHMHF00872147;2024;3;1;1;42;N;26;178;1;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;1;1;2;0;2;0;1;;1;;1;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;0;12;12;12;;12;12;0;12;12;12;;12;12;0;1;2;98;0;0;0;Nuclear
TQRMNOTPYHKNKOCDEHMHF00872148;2024;3;1;1;42;N;26;259;1;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;3;1;2;389600;2;2;2;;2;2;129866,67;1;2;2;;2;2;300;1;2;3;0;0;0;Nuclear
TQRMNOTYTHKNKOCDEHMHF00872149;2024;3;1;1;42;N;26;192;1;;1;1;;1;1;1;1;;1;1;1;1;2;2;2;1;1;2;0;1;2;1;2;0;2;0;1;;1;;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;690000;4;4;4;;5;4;345000;5;6;6;;6;6;220;1;2;98;0;0;0;Nuclear
TQRMNOSWUHKNKPCDEHMHF00872150;2024;3;1;1;42;N;26;107;1;;3;1;;3;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;2;2;2;0;2;0;6;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;430000;2;2;2;;3;2;430000;6;7;7;;7;8;129;1;0;98;0;0;0;Unipersonal
TQRMNORXYHJMLSCDEFIAH00872151;2024;3;1;1;43;S;2;907;2;;2;1;;2;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;1;0;1;350000;2;2;2;1;;2;350000;5;6;5;5;;5;1227;1;0;98;0;0;0;Unipersonal
TQRMNOPXQHMOLSCDEFIAH00808581;2024;3;1;1;43;S;2;675;1;;2;1;;3;1;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;2;1;2;0;2;0;1;;2;;1;1;2;2;2;2;2;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;4;1;3;0;12;12;12;12;;12;0;12;12;12;12;;12;0;2;0;3;0;0;0;Nuclear
TQRMNOTXYHKMLSCDEFIAH00872152;2024;3;1;1;43;S;2;547;1;;3;1;;4;1;1;1;;1;1;1;2;2;2;2;3;3;2;0;2;2;2;0;0;0;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;1;2;2;2;4;0;4;750000;4;5;5;4;;5;187500;3;3;2;2;;2;650;1;0;98;0;0;0;Nuclear
TQRMNORTRHKOLTCDEFIAH00872153;2024;3;1;1;43;S;2;545;1;;1;1;;1;1;1;2;;1;1;1;3;2;2;2;1;1;2;0;1;2;2;2;0;2;0;3;;2;;1;1;2;2;2;2;2;2;2;2;1;2;2;1;1;1;2;1;1;1;2;2;2;3;0;3;1279000;7;8;7;7;;7;426333,33;6;7;6;6;;6;1091;1;2;2;0;0;0;Nuclear
