CODUSU;ANO4;TRIMESTRE;NRO_HOGAR;REALIZADA;REGION;MAS_500;AGLOMERADO;PONDERA;IV1;IV1_ESP;IV2;IV3;IV3_ESP;IV4;IV5;IV6;IV7;IV7_ESP;IV8;IV9;IV10;IV11;IV12_1;IV12_2;IV12_3;II1;II2;II3;II3_1;II4_1;II4_2;II4_3;II5;II5_1;II6;II6_1;II7;II7_ESP;II8;II8_ESP;II9;V1;V2;V21;V22;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19_A;V19_B;IX_TOT;IX_MEN10;IX_MAYEQ10;ITF;DECIFR;IDECIFR;RDECIFR;GDECIFR;PDECIFR;ADECIFR;IPCF;DECCFR;IDECCFR;RDECCFR;GDECCFR;PDECCFR;ADECCFR;PONDIH;VII1_1;VII1_2;VII2_1;VII2_2;VII2_3;VII2_4;DENSIDAD_HOGAR
TQRMNOTSUHJKLMCDEGOIH00793522;2024;1;1;1;40;N;18;675;1;;5;1;;3;1;1;1;;1;1;1;1;2;2;2;5;2;2;0;1;1;1;2;0;2;0;1;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;3;0;3;500000;6;6;6;;6;8;166666,67;5;5;6;;5;7;695;2;0;96;0;0;0;BAJO
TQRMNOQRTHMNNTCDEIIAD00801795;2024;1;1;1;1;S;32;2045;2;;5;1;;2;1;1;1;;1;1;1;1;2;2;2;5;3;1;1;1;1;2;2;0;2;0;3;;4;electricidad;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;15500000;10;;10;10;;10;7750000;10;;10;10;;10;3534;1;2;98;0;0;0;BAJO
TQRMNOUWUHJNNPCDEIIAD00793638;2024;1;1;1;1;S;32;2672;2;;1;1;;2;1;1;1;;1;1;1;1;2;2;2;1;1;2;0;1;2;2;2;0;2;0;2;;1;;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;0;1;346000;4;;4;4;;2;346000;8;;8;8;;5;3662;1;0;98;0;0;0;MEDIO
TQRMNORWQHJNNQCDEIIAD00793476;2024;1;1;1;1;S;32;1835;2;;4;1;;1;1;1;1;;1;1;1;1;2;2;2;4;1;1;1;1;2;2;2;0;2;0;1;;2;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;1;2;2;2;2;1;0;1;311634;3;;3;3;;2;311634;8;;7;8;;5;2369;1;0;98;0;0;0;BAJO
TQRMNOPRYHJNNUCDEIIAD00793642;2024;1;1;1;1;S;32;2157;2;;3;1;;9;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;1;2;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;1;0;1;300000;3;;3;3;;2;300000;7;;7;7;;5;2871;1;0;98;0;0;0;BAJO
TQRMNOSSXHJMOMCDEIIAD00801786;2024;1;1;1;1;S;32;1321;1;;5;1;;3;1;1;1;;1;1;1;1;2;2;2;5;2;1;2;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;2200000;10;;10;10;;10;1100000;10;;10;10;;10;2513;96;0;1;2;0;0;BAJO
TQRMNOSTTHMNLQCDEHJGH00800760;2024;1;1;1;40;S;23;271;1;;4;2;;4;2;1;1;;1;1;2;2;2;2;2;4;2;2;0;2;2;2;0;0;0;0;1;;2;;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;0;2;265000;3;3;3;2;;3;132500;4;4;5;4;;5;343;1;0;98;0;0;0;BAJO
TQRMNORRUHMMKUCDEGOIH00800289;2024;1;1;1;40;N;18;301;1;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;3;3;2;0;1;1;1;2;0;2;0;1;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;2;2;3;0;3;440000;5;5;6;;5;7;146666,67;4;4;5;;4;6;302;1;0;98;0;0;0;MEDIO
TQRMNOSRQHMMLOCDEFLID00858810;2024;1;1;1;43;S;5;441;1;;4;1;;4;1;1;1;;1;1;1;1;2;2;2;4;2;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;1;3;0;12;12;12;12;;12;0;12;12;12;12;;12;0;1;0;2;3;0;0;MEDIO
TQSMNORWPHJLKTCDEHPJB00793157;2024;1;1;1;40;S;29;469;2;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;3;3;2;0;1;2;2;2;0;2;0;8;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;1;2;1;1;2;1;1;2;2;2;5;0;5;520000;6;6;7;6;;7;104000;3;3;4;3;;4;600;2;0;4;0;0;0;MEDIO
